"","DIAMETER","TREAT","SITE","PLOT","REP","SPP","DBH","stem.bio","branch.bio","new.bio","tot.s.b.n","total.agb"
"165",0.6934,"Subsidence","MIKE",20,4,"salix",NA,5.822061516599,1.16107571152314,1.39992624136928,8.38306346949143,8.3484564652996
"166",1.2844,"Subsidence","MIKE",20,5,"salix",NA,33.7340667330626,7.65725140967486,5.36694365991736,46.7582618026548,47.7797383761481
"167",0.9954,"Burned","MIKE",17,1,"salix",NA,16.3142125918134,3.51012647796706,3.07889753835193,22.9032366081324,23.2249740925531
"168",1.3326,"Burned","MIKE",17,2,"salix",NA,37.4685864444709,8.57099838569405,5.81575325596053,51.8553380861255,53.0300927195499
"169",1.0362,"Burned","MIKE",17,3,"salix",NA,18.2930903440386,3.96924016265483,3.36068192939636,25.6230124360897,26.0211976249345
"170",1.4004,"Burned","MIKE",17,4,"salix",NA,43.1609847162736,9.97657404939462,6.48022330361984,59.6177820692881,61.026066240473
"171",1.307,"Burned","MIKE",17,5,"salix",NA,35.4534316404635,8.07705975716699,5.57495248093575,49.1054438785663,50.1974712928411
"172",1.5708,"Burned","MIKE",18,1,"salix",NA,59.8711220642732,14.176856040624,8.32346073025711,82.3714388351544,84.4586340365887
"173",1.1484,"Burned","MIKE",18,3,"salix",NA,24.5210141232877,5.43669713844958,4.20497608103327,34.1626873427705,34.8085263475891
"174",1.1236,"Burned","MIKE",18,4,"salix",NA,23.0417937870906,5.08536223312406,4.00953456342919,32.1366905836438,32.7230009210825
"175",1.0538,"Burned","MIKE",18,5,"salix",NA,19.1925953614974,4.17917033326317,3.48636820679794,26.8581339015585,27.291513245255
"176",0.5324,"Burned","MIKE",19,1,"salix",NA,2.74189795063234,0.517295167357034,0.78697209126379,4.04616520925316,3.95253386505694
"177",0.4898,"Burned","MIKE",19,3,"salix",NA,2.16185409023218,0.400781316187738,0.656147277442002,3.21878268386192,3.12158436494131
"178",0.7602,"Burned","MIKE",19,4,"salix",NA,7.56688736758413,1.53847082794328,1.7107365543274,10.8160947498548,10.8304820243308
"179",0.5282,"Burned","MIKE",19,5,"salix",NA,2.68070043399488,0.504908977139574,0.773501026188055,3.95911043732251,3.86492784418779
"180",0.7164,"Burned","MIKE",20,1,"salix",NA,6.38949079081331,1.28299825039457,1.50314039915077,9.17562944035865,9.15613548926976
"181",1.0414,"Burned","MIKE",20,2,"salix",NA,18.555939060738,4.03050785975354,3.39755658840126,25.9840035088928,26.3924470989421
"182",0.6734,"Burned","MIKE",20,3,"salix",NA,5.35613140077113,1.06161176018042,1.3133962540574,7.73113941500895,7.68484007886279
"183",0.8798,"Burned","MIKE",20,4,"salix",NA,11.4753815064168,2.40582984625004,2.35243383208438,16.2336451847512,16.3767804674665
"184",0.9192,"Unburned","MIKE",17,1,"salix",NA,13.0014382682012,2.75096234575778,2.58817848813559,18.3405791020945,18.5384009786617
"185",2.2106,"Unburned","MIKE",17,2,"salix",NA,158.53560918831,40.3321250427359,17.5304292446334,216.398163475679,222.118993094099
"186",0.8852,"Unburned","MIKE",17,3,"salix",NA,11.6772575384259,2.45130131419931,2.38402416108658,16.5125830137118,16.6628430653382
"187",1.0942,"Unburned","MIKE",17,4,"salix",NA,21.364782618268,4.68906153348543,3.78434932008875,29.8381934718422,30.3574730208801
"188",0.7326,"Unburned","MIKE",17,5,"salix",NA,6.8099442948014,1.37386087502536,1.57822988295821,9.76203505278498,9.75428172307119
"189",2.2704,"Unburned","MIKE",18,1,"salix",NA,171.066366601787,43.764631395036,18.5807642592213,233.411762256045,239.547507978874
"190",1.3782,"Unburned","MIKE",18,2,"salix",NA,41.239439449767,9.50047828076893,6.25836782360635,56.9982855541423,58.3277981311128
